Client ID,Disconnect Time,Reconnect Time,Disconnection duration,Fails Count,Publish Rate (msg/sec)
2440,2025-01-22 22:10:13.884,2025-01-22 22:10:14.885,1.001,0,0
4147,2025-01-22 22:10:13.907,2025-01-22 22:10:14.942,1.035,0,0
4147,2025-01-22 22:10:17.012,2025-01-22 22:10:18.018,1.006,0,0
2440,2025-01-22 22:10:17.105,2025-01-22 22:10:18.150,1.044,0,0
4147,2025-01-22 22:10:20.081,2025-01-22 22:10:21.088,1.006,0,0
2440,2025-01-22 22:10:20.266,2025-01-22 22:10:21.294,1.028,0,0
2440,2025-01-22 22:10:23.589,2025-01-22 22:10:24.595,1.005,0,0
2440,2025-01-22 22:10:35.316,2025-01-22 22:11:26.350,51.034,0,0
4147,2025-01-22 22:10:35.315,2025-01-22 22:11:26.353,51.038,0,0
